sample,unit,fq1,fq2,reference
MMETSP0118,SRR1296942,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296942/SRR1296942_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296942/SRR1296942_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0118.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0119,SRR1296840,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296840/SRR1296840_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296840/SRR1296840_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0119.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0120,SRR1296841,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296841/SRR1296841_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296841/SRR1296841_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0120.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0121,SRR1296842,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296842/SRR1296842_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296842/SRR1296842_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0121.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0123,SRR1296812,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296812/SRR1296812_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296812/SRR1296812_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0123.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0125,SRR1296811,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296811/SRR1296811_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296811/SRR1296811_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0125.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0126,SRR1296813,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296813/SRR1296813_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296813/SRR1296813_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0126.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0127,SRR1296905,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296905/SRR1296905_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296905/SRR1296905_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0127.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0132,SRR1300302,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300302/SRR1300302_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300302/SRR1300302_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0132.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0133,SRR1300303,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300303/SRR1300303_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300303/SRR1300303_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0133.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
